iter	Passed	Remaining
396	4222	6413
397	4232	6402
398	4243	6391
399	4253	6380
400	4264	6369
401	4274	6358
402	4285	6348
403	4295	6337
404	4306	6326
405	4316	6315
406	4327	6304
407	4337	6293
408	4348	6283
409	4358	6272
410	4369	6261
411	4379	6251
412	4390	6240
413	4400	6229
414	4411	6218
415	4421	6207
416	4432	6196
417	4442	6185
418	4453	6174
419	4463	6164
420	4474	6153
421	4484	6142
422	4495	6131
423	4505	6120
424	4516	6110
425	4526	6099
426	4536	6088
427	4547	6077
428	4557	6066
429	4568	6056
430	4578	6045
431	4589	6034
432	4599	6023
433	4610	6012
434	4620	6001
435	4631	5991
436	4642	5980
437	4652	5970
438	4663	5959
439	4673	5948
440	4684	5937
441	4694	5926
442	4705	5915
443	4715	5905
444	4726	5894
445	4736	5883
446	4747	5872
447	4757	5862
448	4768	5851
449	4778	5840
450	4789	5829
451	4799	5818
452	4810	5808
453	4820	5797
454	4831	5787
455	4841	5776
456	4852	5765
457	4862	5754
458	4873	5743
459	4883	5733
460	4894	5722
461	4904	5711
462	4915	5701
463	4925	5690
464	4936	5679
465	4948	5670
466	4958	5659
467	4969	5649
468	4980	5638
469	4990	5627
470	5001	5617
471	5012	5607
472	5022	5596
473	5033	5585
474	5044	5575
475	5054	5564
476	5065	5553
477	5075	5542
478	5086	5532
479	5096	5521
480	5107	5510
481	5117	5500
482	5128	5489
483	5139	5478
484	5149	5468
485	5160	5457
486	5170	5446
487	5181	5436
488	5191	5425
489	5203	5415
490	5213	5404
491	5224	5394
492	5234	5383
493	5245	5372
494	5255	5361
495	5266	5351
496	5276	5340
497	5287	5329
498	5297	5319
499	5308	5308
500	5318	5297
501	5329	5287
502	5340	5276
503	5350	5265
504	5361	5254
505	5371	5244
506	5382	5233
507	5392	5222
508	5403	5212
509	5413	5201
510	5424	5190
511	5434	5180
512	5445	5169
513	5456	5158
514	5466	5148
515	5477	5137
516	5487	5126
517	5498	5115
518	5508	5105
519	5519	5094
520	5529	5084
521	5540	5073
522	5551	5062
523	5561	5051
524	5572	5041
525	5582	5030
526	5593	5020
527	5603	5009
528	5614	4998
529	5624	4988
530	5635	4977
531	5647	4968
532	5658	4957
533	5669	4947
534	5680	4936
535	5690	4926
536	5701	4915
537	5711	4905
538	5722	4894
539	5732	4883
540	5743	4873
541	5754	4862
542	5764	4851
543	5775	4841
544	5785	4830
545	5796	4819
546	5806	4809
547	5817	4798
548	5827	4787
549	5838	4777
550	5849	4766
551	5859	4755
552	5870	4744
553	5880	4734
554	5891	4723
555	5901	4712
556	5912	4702
557	5922	4691
558	5933	4681
559	5944	4670
560	5955	4660
561	5966	4650
562	5977	4639
563	5988	4629
564	5998	4618
565	6009	4607
566	6019	4597
567	6030	4586
568	6041	4575
569	6051	4565
570	6062	4554
571	6073	4544
572	6083	4533
573	6094	4522
574	6105	4512
575	6115	4501
576	6126	4491
577	6136	4480
578	6147	4469
579	6157	4459
580	6168	4448
581	6178	4437
582	6190	4427
583	6200	4416
584	6211	4406
585	6222	4395
586	6232	4385
587	6243	4374
588	6253	4363
589	6264	4353
590	6274	4342
591	6285	4331
592	6295	4321
593	6306	4310
594	6317	4299
595	6328	4289
596	6338	4279
597	6349	4268
598	6359	4257
599	6370	4246
600	6380	4236
601	6391	4225
602	6401	4214
603	6412	4204
604	6422	4193
605	6434	4183
606	6445	4172
607	6455	4162
608	6466	4151
609	6476	4140
610	6487	4130
611	6497	4119
612	6508	4108
613	6518	4098
614	6529	4087
615	6540	4077
616	6550	4066
617	6561	4055
618	6571	4045
619	6582	4034
620	6592	4023
621	6603	4012
622	6613	4002
623	6624	3991
624	6634	3980
625	6645	3970
626	6656	3959
627	6666	3949
628	6677	3938
629	6687	3927
630	6698	3917
631	6709	3906
632	6719	3895
633	6730	3885
634	6741	3874
635	6751	3864
636	6762	3853
637	6773	3843
638	6783	3832
639	6794	3821
640	6804	3811
641	6815	3800
642	6826	3789
643	6836	3779
644	6847	3768
645	6857	3758
646	6868	3747
647	6878	3736
648	6889	3726
649	6899	3715
650	6910	3704
651	6920	3694
652	6931	3683
653	6942	3672
654	6956	3664
655	6968	3654
656	6979	3643
657	6990	3633
658	7000	3622
659	7011	3611
660	7021	3601
661	7031	3590
662	7042	3579
663	7052	3568
664	7063	3558
665	7073	3547
666	7084	3536
667	7094	3526
668	7105	3515
669	7116	3504
670	7126	3494
671	7136	3483
672	7147	3472
673	7158	3462
674	7168	3451
675	7179	3441
676	7190	3430
677	7201	3420
678	7212	3409
679	7222	3398
680	7233	3388
681	7243	3377
682	7254	3366
683	7264	3356
684	7275	3345
685	7285	3334
686	7296	3324
687	7310	3315
688	7321	3304
689	7331	3293
690	7342	3283
691	7352	3272
692	7363	3262
693	7374	3251
694	7384	3240
695	7395	3230
696	7405	3219
697	7416	3208
698	7426	3198
699	7437	3187
700	7448	3176
701	7458	3166
702	7469	3155
703	7479	3144
704	7490	3134
705	7501	3123
706	7511	3113
707	7521	3102
708	7532	3091
709	7543	3080
710	7553	3070
711	7564	3059
712	7574	3049
713	7585	3038
714	7595	3027
715	7606	3017
716	7616	3006
717	7627	2995
718	7637	2985
719	7648	2974
720	7659	2963
721	7671	2953
722	7682	2943
723	7693	2932
724	7703	2922
725	7714	2911
726	7724	2900
727	7735	2890
728	7745	2879
729	7756	2868
730	7766	2858
731	7777	2847
732	7788	2836
733	7798	2826
734	7809	2815
735	7819	2804
736	7830	2794
737	7840	2783
738	7851	2773
739	7862	2762
740	7872	2751
741	7883	2741
742	7894	2730
743	7904	2719
744	7915	2709
745	7925	2698
746	7936	2687
747	7946	2677
748	7959	2667
749	7970	2656
750	7981	2646
751	7992	2635
752	8003	2625
753	8014	2614
754	8025	2604
755	8037	2594
756	8048	2583
757	8058	2572
758	8069	2562
759	8079	2551
760	8090	2540
761	8101	2530
762	8111	2519
763	8122	2508
764	8132	2498
765	8143	2487
766	8154	2477
767	8166	2466
768	8179	2456
769	8190	2446
770	8201	2435
771	8212	2425
772	8222	2414
773	8233	2404
774	8244	2393
775	8254	2382
776	8265	2372
777	8276	2361
778	8286	2350
779	8297	2340
780	8308	2329
781	8318	2319
782	8329	2308
783	8340	2297
784	8351	2287
785	8361	2276
786	8372	2265
787	8382	2255
788	8393	2244
789	8404	2233
790	8414	2223
791	8425	2212
792	8435	2202
793	8446	2191
794	8456	2180
795	8467	2170
796	8477	2159
797	8488	2148
798	8498	2138
799	8509	2127
800	8519	2116
801	8530	2106
802	8540	2095
803	8551	2084
804	8561	2074
805	8572	2063
806	8583	2052
807	8593	2042
808	8603	2031
809	8614	2020
810	8625	2010
811	8635	1999
812	8646	1988
813	8656	1978
814	8667	1967
815	8677	1956
816	8688	1946
817	8699	1935
818	8709	1924
819	8720	1914
820	8730	1903
821	8741	1892
822	8754	1882
823	8764	1872
824	8775	1861
825	8786	1850
826	8796	1840
827	8807	1829
828	8817	1818
829	8828	1808
830	8839	1797
831	8849	1786
832	8860	1776
833	8870	1765
834	8881	1755
835	8892	1744
836	8902	1733
837	8913	1723
838	8923	1712
839	8934	1701
840	8944	1691
841	8955	1680
842	8965	1669
843	8978	1659
844	8988	1648
845	8999	1638
846	9009	1627
847	9020	1616
848	9030	1606
849	9041	1595
850	9052	1584
851	9062	1574
852	9073	1563
853	9083	1552
854	9094	1542
855	9104	1531
856	9115	1521
857	9125	1510
858	9136	1499
859	9146	1489
860	9157	1478
861	9168	1467
862	9179	1457
863	9190	1446
864	9201	1436
865	9212	1425
866	9222	1414
867	9233	1404
868	9244	1393
869	9254	1382
870	9265	1372
871	9275	1361
872	9286	1350
873	9296	1340
874	9307	1329
875	9317	1318
876	9328	1308
877	9339	1297
878	9349	1287
879	9360	1276
880	9371	1265
881	9381	1255
882	9392	1244
883	9402	1233
884	9413	1223
885	9424	1212
886	9435	1201
887	9445	1191
888	9455	1180
889	9466	1170
890	9476	1159
891	9487	1148
892	9497	1138
893	9508	1127
894	9518	1116
895	9529	1106
896	9539	1095
897	9550	1084
898	9561	1074
899	9571	1063
900	9582	1052
901	9592	1042
902	9603	1031
903	9613	1020
904	9624	1010
905	9635	999
906	9645	989
907	9656	978
908	9666	967
909	9677	957
910	9688	946
911	9698	935
912	9709	925
913	9720	914
914	9731	903
915	9741	893
916	9752	882
917	9762	872
918	9773	861
919	9784	850
920	9794	840
921	9805	829
922	9816	818
923	9826	808
924	9837	797
925	9848	786
926	9858	776
927	9869	765
928	9879	755
929	9890	744
930	9900	733
931	9911	723
932	9922	712
933	9933	701
934	9943	691
935	9954	680
936	9965	670
937	9976	659
938	9988	648
939	10002	638
940	10013	627
941	10024	617
942	10034	606
943	10045	595
944	10056	585
945	10066	574
946	10077	563
947	10088	553
948	10099	542
949	10109	532
950	10120	521
951	10131	510
952	10141	500
953	10152	489
954	10163	478
955	10174	468
956	10184	457
957	10195	446
958	10206	436
959	10217	425
960	10228	415
961	10238	404
962	10249	393
963	10260	383
964	10270	372
965	10281	361
966	10292	351
967	10303	340
968	10313	329
969	10324	319
970	10335	308
971	10345	298
972	10356	287
973	10367	276
974	10378	266
975	10388	255
976	10399	244
977	10410	234
978	10421	223
979	10431	212
980	10442	202
981	10453	191
982	10463	180
983	10474	170
984	10485	159
985	10496	149
986	10506	138
987	10517	127
988	10528	117
989	10539	106
990	10549	95
991	10560	85
992	10570	74
993	10581	63
994	10592	53
995	10603	42
996	10613	31
997	10624	21
998	10635	10
999	10645	0
