iter	Logloss	AUC
0	0.6446386754	0.9827801899
1	0.6055015551	0.9857053499
2	0.5632947377	0.991629259
3	0.5254113754	0.992346751
4	0.4893917443	0.9933953933
5	0.4599980497	0.9930642431
6	0.4342618607	0.9930274487
7	0.4087424151	0.993450585
8	0.3868172358	0.9942232688
9	0.3645206685	0.9944440356
10	0.3460446081	0.9947383913
11	0.3331143909	0.994554419
12	0.3152184452	0.994554419
13	0.3002466755	0.9943336522
14	0.2887046136	0.9947015969
15	0.2757344807	0.9943704467
16	0.2635308603	0.9947383913
17	0.2513441978	0.994554419
18	0.2373983707	0.994554419
19	0.2260370503	0.9947383913
20	0.2155608677	0.9955110751
21	0.2072782191	0.9955478696
22	0.2000428431	0.995658253
23	0.1922068575	0.9957686364
24	0.1856095354	0.9956214585
25	0.1782367464	0.9954374862
26	0.1699184213	0.9959526087
27	0.164946732	0.9958422253
28	0.1594146956	0.9962837589
29	0.1536604681	0.9964309368
30	0.1483038696	0.9965413202
31	0.1430445248	0.9968356759
32	0.1403861937	0.9968356759
33	0.1357308441	0.9968356759
34	0.1320186153	0.9967988814
35	0.1287431519	0.9968724704
36	0.1259211284	0.9967988814
37	0.1221911564	0.9968724704
38	0.1193372474	0.9967988814
39	0.1166755939	0.9967252925
40	0.113231421	0.9969460593
41	0.1108803409	0.9969092648
42	0.1085202826	0.9969460593
43	0.105783601	0.9969460593
44	0.1046413477	0.9968724704
45	0.1020837466	0.9972772095
46	0.1001346345	0.9973507984
47	0.09844268448	0.9974611818
48	0.09574366347	0.9974979763
49	0.09377672834	0.9976819486
50	0.09191098233	0.9976819486
51	0.09089338798	0.997792332
52	0.08936468373	0.997792332
53	0.08723394045	0.9979395099
54	0.08636361195	0.9979027154
55	0.08434061453	0.9980130988
56	0.08297362316	0.9980498933
57	0.08197010942	0.9980498933
58	0.08104928043	0.9981602767
59	0.08034344238	0.9980866878
60	0.07854244146	0.9983074546
61	0.0768967196	0.9984546324
62	0.07561156917	0.9984546324
63	0.07433733968	0.9984546324
64	0.0737823671	0.9984546324
65	0.07269732003	0.9985282214
66	0.0716651032	0.9984914269
67	0.07020181381	0.9987121937
68	0.06945276449	0.9987489882
69	0.06812764089	0.998896166
70	0.06721225616	0.9989697549
71	0.06658922158	0.9989697549
72	0.06608848269	0.9989697549
73	0.06510332621	0.9989329605
74	0.06434026009	0.9989697549
75	0.06324243523	0.9990065494
76	0.06226744772	0.9990065494
77	0.06121571026	0.9990065494
78	0.06011493215	0.9991537273
79	0.05917517679	0.9992273162
80	0.05827573523	0.9992273162
81	0.05750748596	0.9993009051
82	0.05676971487	0.9993009051
83	0.05623510515	0.9993009051
84	0.05592070792	0.9993009051
85	0.05533256723	0.9994112885
86	0.05478011643	0.9994112885
87	0.05406805692	0.9994112885
88	0.05337548341	0.9994848775
89	0.05281423055	0.9995584664
90	0.05246720966	0.9995584664
91	0.05184200793	0.9995952609
92	0.05107932389	0.9996320553
93	0.05044417368	0.9997056443
94	0.05021987925	0.9997056443
95	0.04971285952	0.9997056443
96	0.04875329838	0.9997424387
97	0.04823638968	0.9997424387
98	0.04748845185	0.9997424387
99	0.04719615376	0.9997792332
100	0.04664435159	0.9997792332
101	0.04615093069	0.9997792332
102	0.04582064543	0.9997792332
103	0.04518523532	0.9997792332
